ota_hotel_id,master_id,room_name,rg_hash,count_rg_hash,allotment,bedding_type,beds,bedding_data,multi_bed_data,capacity,price_rub_min,price_rub_max,url
klubnyij_kvartal_apartments,9081992,Студия,7002,2,1,,,"[""nobedding""]",,1,3500.00,3500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9081992/klubnyij_kvartal_apartments
klubnyij_kvartal_apartments,9081992,Апартаменты,6002,2,6,,,"[""nobedding""]",,1,4100.00,4100.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9081992/klubnyij_kvartal_apartments
klubnyij_kvartal_apartments,9081992,Люкс,5002,2,1,,,"[""nobedding""]",,1,5700.00,5700.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9081992/klubnyij_kvartal_apartments
taiga_2,6923154,Двухместный номер Standard с видом на город (двуспальная кровать),32023020005,2,35,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,5531.00,6469.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
taiga_2,6923154,Номер Superior с видом на город,35020000005,2,29,,,"[""nobedding""]",,1,6660.00,7598.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
taiga_2,6923154,Апартаменты с красивым видом из окна (джакузи),6002000000U,2,1,,,"[""nobedding""]",,1,16029.00,16967.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid6923154/taiga_2
tajga_hotel,9767827,Одноместный номер Стандартный с видом на внутренний двор,32020010006,4,1,,,"[""nobedding""]",,1,5200.00,5680.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9767827/tajga_hotel
tajga_hotel,9767827,Двухместный номер Стандартный с видом на внутренний двор (двуспальная кровать),32023020006,4,3,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,6000.00,6400.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9767827/tajga_hotel
tajga_hotel,9767827,Двухместный Джуниор Сюит Плюс (двуспальная кровать) (диван),4402302,4,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,7800.00,8020.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9767827/tajga_hotel
tajga_hotel,9767827,Двухместный Джуниор Сюит Дизайнерский с видом на город (двуспальная кровать) (кровать king size),4B023020005,4,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,10000.00,10200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid9767827/tajga_hotel
irkutsk_city_center,13384478,Двухместный номер Делюкс (2 отдельные кровати),3602402,4,8,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,6600.00,7600.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
irkutsk_city_center,13384478,Двухместный номер Делюкс (двуспальная кровать) (кровать king size),3602302,4,5,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,7200.00,8200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
irkutsk_city_center,13384478,Двухместный номер Бизнес Делюкс (двуспальная кровать) (кровать king size),3602312,4,21,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,8200.00,9200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
irkutsk_city_center,13384478,Двухместный номер Бизнес Делюкс (2 отдельные кровати),3602412,4,9,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,9500.00,10500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13384478/irkutsk_city_center
lyuks_hotel_4,10613305,Двухместный номер Standard (двуспальная кровать) (кровать queen size),3202302,2,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,2473.00,2500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid10613305/lyuks_hotel_4
lyuks_hotel_4,10613305,Двухместный номер Standard (2 отдельные кровати),3202402,2,1,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,2968.00,3000.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid10613305/lyuks_hotel_4
evropa_hotel,7828771,Одноместный номер Standard,3202001,6,1,,,"[""nobedding""]",,1,5400.00,7800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Standard (двуспальная кровать),3202302,6,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,5760.00,8200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Standard (2 отдельные кровати),3202402,6,1,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,5760.00,8200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Одноместный номер Economy,3102001,6,1,,,"[""nobedding""]",,1,6000.00,7800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Одноместный номер Superior,3502001,6,8,,,"[""nobedding""]",,1,7000.00,8800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Superior (двуспальная кровать),3502302,6,4,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,7500.00,9300.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
evropa_hotel,7828771,Двухместный номер Superior (2 отдельные кровати),3502402,6,4,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,7500.00,9300.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid7828771/evropa_hotel
otel_irkut,8348721,Одноместный номер Standard,3202001,2,2,,,"[""nobedding""]",,1,3350.00,3350.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Одноместный номер Superior,3502001,2,1,,,"[""nobedding""]",,1,4050.00,4050.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Двухместный номер Standard (2 отдельные кровати),3202402,2,8,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,4200.00,4200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Двухместный номер Superior (двуспальная кровать),3502302,2,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,4200.00,4200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Двухместный номер Superior (2 отдельные кровати),3502402,2,5,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,4200.00,4200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Двухместный номер Standard (двуспальная кровать),3202302,2,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,4200.00,4200.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
otel_irkut,8348721,Двухместный номер Standard Premium (двуспальная кровать),3A02302,2,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,6800.00,6800.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8348721/otel_irkut
hotel_olkhonhill,10219118,Двухместный номер Standard с балконом и с красивым видом из окна (2 отдельные кровати),3202402001U,1,13,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,6500.00,6500.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid10219118/hotel_olkhonhill
hotel_olkhonhill,10219118,Двухместный номер Standard с красивым видом из окна (двуспальная кровать) (кровать king size),3202302000U,1,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,9000.00,9000.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid10219118/hotel_olkhonhill
victory_hotel_4,8457230,Двухместный номер Стандартный (двуспальная кровать),3202302,4,6,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,3900.00,5700.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный (2 отдельные кровати),3202402,4,6,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,3900.00,5700.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный Улучшенный (2 отдельные кровати),3502402,4,7,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,4300.00,6100.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
victory_hotel_4,8457230,Двухместный номер Стандартный Улучшенный (двуспальная кровать),3502302,4,7,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,4300.00,6100.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid8457230/victory_hotel_4
baza_otdykha_gostiny_dvor_vdokhnovenie,10438999,Двухместный номер Standard (2 отдельные кровати),3202402,1,4,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,6000.00,6000.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid10438999/baza_otdykha_gostiny_dvor_vdokhnovenie
hotel_nuur_hotel,13174758,Номер Standard (двуспальная кровать),3202302,4,2,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,7800.00,8300.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13174758/hotel_nuur_hotel
hotel_nuur_hotel,13174758,Номер Standard (2 отдельные кровати),3202402,4,2,2 отдельные кровати,"[""2 отдельные кровати""]","[""twin""]","[{""bed"": ""single"", ""count"": 2}]",2,7800.00,8300.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13174758/hotel_nuur_hotel
hotel_nuur_hotel,13174758,Двухместный Джуниор Сюит (двуспальная кровать),4002302,4,1,двуспальная кровать,"[""двуспальная кровать""]","[""double""]","[{""bed"": ""double"", ""count"": 1}]",2,8900.00,9400.00,https://ostrovok.ru/hotel/russia/western_siberia_irkutsk_oblast_multi/mid13174758/hotel_nuur_hotel
