ota_hotel_id,name,date,rooms_num,free_rooms_amount,max_capacity,available_rooms_percent,min_price
taiga_2,Отель Тайга,2026-08-20,101,33,66,32.67,5531.00
bajkal_hotel,Отель Байкал,2026-08-20,72,16,31,22.22,9500.00
irkutsk_city_center,Отель Иркутск Сити Центр,2026-08-20,206,31,62,15.05,8600.00
angara_hotel,Ангара Отель,2026-08-20,300,72,121,24.0,5250.00
ibis_irkutsk_center,Отель Ибис Иркутск Центр,2026-08-20,128,47,94,36.72,6250.00
bolshoe_puteshestvie_hotel,Кемпинг Отель Ольхон,2026-08-20,10,12,24,100.0,3953.00
hotel_harats_inn,Отель Harat's inn,2026-08-20,12,12,24,100.0,4352.00
hotel_dacha_baikaleco,Семейный отель Дача БайкалЭко,2026-08-20,10,6,12,60.0,14250.00
azimut_aeroport_irkutsk_hotel,AZIMUT Отель Аэропорт Иркутск 4*,2026-08-20,100,39,74,39.0,7000.00
gostevoy_dom_holiday_park_on_olkhon,Holiday park on Olkhon,2026-08-20,0,4,8,100.0,4226.00
tajga_hotel,Отель Тайга,2026-08-20,44,27,53,61.36,5200.00
vera_baikal,Отель Вера Байкал,2026-08-20,38,9,18,23.68,9000.00
hotel_premium_hotel_pushkin,Премиум-отель Пушкин,2026-08-20,46,9,18,19.57,17100.00
evropa_hotel,Отель Европа,2026-08-20,58,26,46,44.83,5400.00
victory_hotel_4,Гостиница Виктория,2026-08-20,30,15,30,50.0,4600.00
hotel_anastasiya_2,Отель ГК Анастасия,2026-08-20,26,23,43,88.46,9100.00
rus_hotel_irkutsk,Гостиничный Комплекс Русь,2026-08-20,56,39,68,69.64,4550.00
vozdushnaya_gavan,Отель Воздушная Гавань,2026-08-20,140,37,74,26.43,5341.00
praskovya_guest_house,Отель Прасковья,2026-08-20,12,7,8,58.33,1979.00
dohodnyij_dom_listratvoj_butikhotel,Отель Доходный дом Листратовой,2026-08-20,15,7,11,46.67,5439.00
history_boutiquehotel,Отель HISTORY Бутик-отель и СПА,2026-08-20,40,29,58,72.5,22443.75
wind_lake_guest_house,Wind Lake,2026-08-20,15,15,30,100.0,16617.00
otel_irkut,Отель Иркут,2026-08-20,30,17,33,56.67,4050.00
international_hotel_sayen,SAYEN,2026-08-20,25,20,40,80.0,20000.00
lyuks_hotel_4,Отель Люкс,2026-08-20,15,11,22,73.33,2473.00
baykal_khan_listvyanka,Отель Байкал Хан п.Листвянка,2026-08-20,18,1,2,5.56,8340.00
klubnyij_kvartal_apartments,Клубный Квартал,2026-08-20,67,15,28,22.39,3500.00
hotel_sozvezdie_baikala,Отель Созвездие Байкала,2026-08-20,22,11,22,50.0,3950.00
olkhon_inn,Olkhon Inn,2026-08-20,0,10,20,100.0,6000.00
gostevoy_dom_sunrise,Sunrise,2026-08-20,0,1,3,100.0,10389.00
parus_18,Курортный отель Парус,2026-08-20,17,7,14,41.18,5100.00
grand_baikal,Отель Гранд Байкал,2026-08-20,64,11,22,17.19,5737.00
hotel_nikola_2,Отель Никола,2026-08-20,27,8,16,29.63,7706.00
guest_house_baykaliya,Байкалия,2026-08-20,0,3,6,100.0,7421.00
otel_tsentral,Отель Централь,2026-08-20,48,36,72,75.0,8455.00
yakovlev_hotel,Отель Яковлевъ,2026-08-20,25,1,2,4.0,3762.00
baikal_business_center_hotel,Отель Байкал Бизнес Центр,2026-08-20,59,8,15,13.56,5400.00
hotel_nuur_hotel,Отель Nuur Hotel,2026-08-20,28,3,6,10.71,9100.00
empire_hotel_3,Гостиница Империя,2026-08-20,49,11,19,22.45,4700.00
archi_apt_apartments,Отель Baikal Archi Apt,2026-08-20,7,3,6,42.86,3530.00
minihotel_albatros,Гостиница Альбатрос,2026-08-20,12,10,24,83.33,2900.00
azatai_park_hotel,"Парк-отель ""Азатай""",2026-08-20,0,10,20,100.0,14849.00
apartamentyi_v_irkutske,Меблированные комнаты в Иркутске,2026-08-20,0,2,4,100.0,2077.00
uda_2,Отель УДА,2026-08-20,45,38,56,84.44,1682.00
mini_hotel_vizit,Гостиница Визит,2026-08-20,8,3,6,37.5,2671.00
inn_business_hall,Отель Business Hall,2026-08-20,18,14,26,77.78,3790.00
gostevoy_dom_briz_3,Меблированные комнаты БРИЗ,2026-08-20,16,12,28,75.0,4452.00
miniotel_medveditsa,Меблированные комнаты Медведица,2026-08-20,0,7,13,100.0,4660.00
best_eastern_hotel_zvezda,Отель Звезда,2026-08-20,65,66,132,100.0,7118.00
gostevoj_dom_otdyih_na_bajkale,Отель Отдых на Байкале,2026-08-20,11,4,9,36.36,2476.00
city_park_hotel_13,Меблированные комнаты City Park,2026-08-20,0,8,16,100.0,2361.00
the_sky_of_lake_baikal,Небо Байкала,2026-08-20,0,2,4,100.0,3958.00
aristokrat_hotel,Отель Аристократ,2026-08-20,12,12,22,100.0,5100.00
baykal_shale_guest_house,Байкал Шале,2026-08-20,11,5,14,45.45,5194.00
aura_baykala_guest_house,Аура Байкала,2026-08-20,0,7,14,100.0,5937.00
mayak_hotel_listvyanka,Отель Маяк,2026-08-20,54,4,8,7.41,7000.00
larus,Отель Ларус,2026-08-20,14,4,8,28.57,5214.00
atlas_hotel_3,Гостиница Атлас,2026-08-20,29,11,24,37.93,4622.40
baikal_forest_hotel,Отель Форест,2026-08-20,156,12,24,7.69,9044.00
baza_otdykha_olkhon,База отдыха Ольхон,2026-08-20,50,1,3,2.0,5429.00
hotel_flagman_olkhona,Отель Флагман Ольхона,2026-08-20,15,20,40,100.0,12067.00
gostinitsa_solntse,Гостиница Солнце,2026-08-20,58,4,4,6.9,11523.00
magas,Отель на Перроне,2026-08-20,25,23,45,92.0,1483.00
montana_hostel,Меблированные комнаты Montana,2026-08-20,9,0,0,0.0,
matreshka_hotel,Отель Матрешка,2026-08-20,35,18,30,51.43,4432.00
7_dorog,Гостиница 7 дорог,2026-08-20,19,9,15,47.37,4750.00
bajkal_severnoe_more_hotel,Отель Байкал - Северное Море,2026-08-20,119,72,144,60.5,7579.00
burduguz_hotel_2,Парк-Отель Бурдугуз,2026-08-20,69,5,10,7.25,22525.00
gostinitsa_akademicheskaya,Отель Гостиница Академическая,2026-08-20,48,13,24,27.08,3000.00
alaniya,Алания,2026-08-20,0,4,8,100.0,3958.00
lotos_hotel,Отель Лотос,2026-08-20,23,9,17,39.13,1200.00
baykal_guest_house_3,Меблированные комнаты Байкал,2026-08-20,0,7,10,100.0,3463.00
legendy_baykala,Гостиница Легенды Байкала,2026-08-20,18,3,3,16.67,1137.00
gostevoj_dom_na_zvezdinskoj,Отель на Звездинской,2026-08-20,25,35,75,100.0,3750.00
baza_otdykha_village_hvoy,Вилладж Хвоя,2026-08-20,0,6,8,100.0,9341.00
dream_of_baikal_hotel,Отель Dream of Baikal,2026-08-20,19,5,9,26.32,6530.00
izumrud_hotel_7,Отель Изумруд,2026-08-20,9,9,13,100.0,3463.00
less_guest_house,Меблированные комнаты Лесс,2026-08-20,0,2,4,100.0,9796.00
hotel_kurshavel_,Отель Куршавель,2026-08-20,15,14,30,93.33,4000.00
miniotel_serdtse_baykala,Сердце Байкала,2026-08-20,0,4,12,100.0,12369.00
beliy_sobol_parkhotel,Парк-отель Белый Соболь,2026-08-20,32,9,25,28.12,9940.00
kupechesky_dvor_hotel,Отель Купеческий Дворъ,2026-08-20,14,9,18,64.29,8108.00
miniotel_gostinitsa_nerpenok,Нерпенок,2026-08-20,0,4,12,100.0,7421.00
krestovaya_pad_hotel,Гостиница Крестовая падь,2026-08-20,27,7,13,25.93,9500.00
baikal_view_hotel,Baikal View Hotel,2026-08-20,99,67,136,67.68,11574.00
armat_hotel,Отель Армат,2026-08-20,40,33,66,82.5,6500.00
hotel_u_ruchyya,Отель У ручья,2026-08-20,9,1,2,11.11,3958.00
hotel_baikal_best_edelweiss,Отель Байкал Эдельвейс,2026-08-20,10,9,22,90.0,6431.00
luna_hotel_9,Отель Луна,2026-08-20,22,5,9,22.73,3000.00
hotel_angara,Отель Ангара-Приоритет,2026-08-20,31,15,34,48.39,3800.00
hotel_olimpiada,Олимпиада,2026-08-20,29,18,23,62.07,800.00
baza_otdykha_akvamarin,Аквамарин,2026-08-20,35,14,28,40.0,8114.00
dom_baykal_guest_house,Меблированные комнаты Дом Байкал,2026-08-20,15,2,4,13.33,3166.00
amurskiy,Отель Амурский,2026-08-20,17,12,28,70.59,19900.00
vostochnaia,Гостиница Восточная,2026-08-20,26,20,42,76.92,4200.00
alpari,Гостиница Альпари,2026-08-20,10,5,10,50.0,2373.00
tochka_baykala_hotel,Отель Точка Байкала,2026-08-20,38,9,9,23.68,7000.00
hotel_yubileinaya__2,Гостиница Юбилейная,2026-08-20,23,17,30,73.91,2443.00
gostevoi_dom_margobai,Отель Маргобай,2026-08-20,14,20,28,100.0,1877.00
minihotel_panda,Отель ДиаДэй,2026-08-20,9,1,2,11.11,4500.00
ozerny_tulun_sports_complex_na_karbysheva_185_apartment,Спорткомплекс Озерный Тулун на Карбышева 185,2026-08-20,0,2,4,100.0,3560.00
meridian_7,Отель Меридиан,2026-08-20,33,16,24,48.48,4200.00
dauria_hotel_2,Отель Даурия,2026-08-20,4,8,16,100.0,6500.00
profsoyuznaya_hotel_4,Профсоюзная,2026-08-20,0,68,136,100.0,3196.00
hotel_kosmos_5,Отель Космос,2026-08-20,16,1,3,6.25,3636.00
tengis_park_hotel,Отель Тэнгис,2026-08-20,11,7,7,63.64,19782.00
flagman_hotel_4,Отель Флагман,2026-08-20,13,8,11,61.54,6000.00
aura_living_quarters,Меблированные комнаты Аура,2026-08-20,0,5,10,100.0,5838.00
lada_8,Отель Гостиница ЛАДА,2026-08-20,22,10,20,45.45,4600.00
gostinitsa_ustilim,Усть-Илим,2026-08-20,80,37,42,46.25,1160.00
green_hotel_,Грин Отель,2026-08-20,22,19,37,86.36,3514.00
kheyvitsa_guest_house,Отель Гостевой Дом Хейвица,2026-08-20,8,6,11,75.0,4650.00
hotel_complex_baikalov_ostrog,Гостиница Байкалов Острог,2026-08-20,0,68,139,100.0,9975.00
baykkalina_guest_house,БайкКалина,2026-08-20,0,1,3,100.0,9895.00
tri_kita_2,Отель Три Кита,2026-08-20,11,4,9,36.36,2554.00
hotel_pushkin_2,Отель ПушкинЪ,2026-08-20,23,16,32,69.57,7814.00
planeta_9,Планета,2026-08-20,33,9,18,27.27,2969.00
flagman_hotel,Отель Флагман,2026-08-20,10,5,10,50.0,8500.00
guest_house_vremena_goda,Времена Года,2026-08-20,24,10,20,41.67,5100.00
gostinitsa_undina,Отель Ундина,2026-08-20,30,27,54,90.0,8905.00
aerobratsk,Отель Аэропорт Братск,2026-08-20,32,8,8,25.0,890.00
oktyabrskaya_minihotel,Октябрьская,2026-08-20,0,6,11,100.0,1500.00
hotel_soyuz_2,Жилое помещение Союз,2026-08-20,84,73,146,86.9,5600.00
camping_yelochka_kempinghotel,Отель Елочка,2026-08-20,118,17,34,14.41,6274.00
trakstop_38_2,Тракстоп 38,2026-08-20,11,5,10,45.45,5194.00
riderside,Гостиница Riverside,2026-08-20,8,3,6,37.5,3400.00
hotel_gostinitsa_dinamo,Отель Динамо,2026-08-20,39,17,31,43.59,1128.00
metelitsa_6,Отель Метелица,2026-08-20,5,5,10,100.0,2369.00
arena_g_irkutsk,Отель Арена Иркутск,2026-08-20,15,17,28,100.0,3128.00
hotel_gostinitsa_avtovokzal,Отель Автовокзал,2026-08-20,22,11,16,50.0,2572.00
hotel_aziyayevropa,Отель Азия-Европа,2026-08-20,19,12,24,63.16,3956.00
eko_baikalwood_hotel,Отель БайкалВуд,2026-08-20,44,10,20,22.73,16675.00
hotel_khotej,Отель Хотэй,2026-08-20,25,18,36,72.0,8050.00
legend_of_baikal,Отель Легенда Байкала,2026-08-20,35,8,16,22.86,9375.00
katantsa_hotel,Отель Катанца,2026-08-20,19,17,34,89.47,4500.00
v_derevne_guest_house,Уютный дом,2026-08-20,0,3,6,100.0,2844.00
modul,Гостиница Комфорт,2026-08-20,12,14,18,100.0,3760.00
shelest,Shelest,2026-08-20,0,8,16,100.0,4908.00
irkutsk_city_lodge,Отель Иркутск Сити Лодж,2026-08-20,4,4,8,100.0,3763.00
private_house_uedinenny_dom_na_beregu_zhivopisnoy_zavodi,Байкал 51,2026-08-20,0,1,3,100.0,36117.00
magnetit,Отель Магнетит,2026-08-20,55,31,44,56.36,2700.00
lazurny_bereg_hotel_,Гостиница Лазурный берег,2026-08-20,65,9,17,13.85,3900.00
u_lukomorya_4,У Лукоморья,2026-08-20,0,2,4,100.0,9103.00
apartments_viking_khaus,Викинг Хаус,2026-08-20,0,1,2,100.0,19790.00
bajkalskie_sezonyi,Отель Парк Байкальские сезоны,2026-08-20,22,20,40,90.91,12467.00
recreation_centre_baikal_rainbow,База отдыха Байкальская Радуга,2026-08-20,31,9,21,29.03,8047.00
the_hotel_on_volzhskaya,Гостиница на Волжской,2026-08-20,30,15,42,50.0,2823.00
tsentr_otdykha_dashi,Центр отдыха Да-ши,2026-08-20,20,9,20,45.0,11725.00
royal_hotel_33,Отель Рояль,2026-08-20,27,13,25,48.15,4358.00
baykal_khan_hotel_olkhon,Отель Байкал-Хан Ольхон,2026-08-20,40,17,34,42.5,14589.00
rodnye_berega_holiday_park_,База Отдыха Родные Берега,2026-08-20,26,3,3,11.54,10000.00
hotel_barguzin,Меблированные комнаты Баргузин,2026-08-20,0,8,26,100.0,7916.00
u_istoka_hotel,Гостиница У Истока,2026-08-20,24,9,21,37.5,3400.00
arena_on_sverdlov,"Меблированные комнаты общежитие ""Арена на Свердлова""",2026-08-20,0,17,29,100.0,3166.00
recreation_complex_altan,Парк-Отель Алтан,2026-08-20,25,3,8,12.0,30922.00
gloria_20,Отель Глория,2026-08-20,14,1,1,7.14,6233.00
saturn_8,Отель Сатурн,2026-08-20,23,4,8,17.39,3000.00
yupiter,Юпитер,2026-08-20,23,3,6,13.04,3000.00
olkhon_house_guest_family_house,Olkhon Family House,2026-08-20,0,4,7,100.0,4947.00
khoromy_recreation_camp,Хоромы,2026-08-20,0,0,0,0.0,
mir_baykala_hotel,Отель Мир Байкала,2026-08-20,29,9,15,31.03,13853.00
gostevoj_dom_endemik,Меблированные комнаты посуточная аренда,2026-08-20,0,6,8,100.0,8610.00
lakeplacebaykal_living_quarters,Меблированные комнаты ЛэйкПлэйсБайкал,2026-08-20,0,4,8,100.0,9895.00
rezidentsii_rodina_irkutsk,Резиденции Rodina Irkutsk,2026-08-20,0,14,28,100.0,28000.00
svetly_aparthotel,Отель Светлый,2026-08-20,6,5,10,83.33,4500.00
v_gostyakh_u_dubrovskikh_guest_house,В гостях у ДУБРОВСКИХ,2026-08-20,0,1,4,100.0,19790.00
na_beregu_baykala_guest_house,На берегу Байкала,2026-08-20,0,1,2,100.0,7421.00
gostevoj_dom_bajkalska_tajga,Байкальска тайга,2026-08-20,0,1,2,100.0,5937.00
aleksandrovskij_dvor,Александровский двор,2026-08-20,0,3,12,100.0,6827.00
loft_house_38_guest_house,Loft House 38,2026-08-20,0,1,2,100.0,14842.00
komilfo_2,Отель Комильфо,2026-08-20,12,1,2,8.33,4941.00
hotelclub_ice,Отель Сибирская резиденция Лёд Байкала,2026-08-20,0,2,2,100.0,12000.00
baikalov_ostrog,Bajkal-Ujuga,2026-08-20,0,68,127,100.0,11490.00
lenatour,Отель  Ленатур,2026-08-20,8,5,13,62.5,3096.00
glempingotel_yolki_recreation_camp,Аян,2026-08-20,0,2,8,100.0,14842.00
maksi_hotel,Отель Макси,2026-08-20,2,2,4,100.0,3463.00
hotel_arakhis,Отель Арахис,2026-08-20,8,2,4,25.0,4228.00
living_quarters_uyutnye_dlya_dvoikh,Меблированные комнаты Уютные для Двоих,2026-08-20,0,4,8,100.0,2011.00
